Message_Count,Unique_IDs,Mean_Delta_T,Std_Delta_T,Label
10,1,0.009982919692993164,0.00028968065755589017,0
10,1,0.010252618789672851,0.0003856808445387896,0
10,1,0.01023402214050293,0.0004903111346415065,0
10,1,0.010038089752197266,0.0003383533424874709,0
10,1,0.010021066665649414,7.701357070288685e-05,0
10,1,0.010039210319519043,0.00011817850061606358,0
10,1,0.010021567344665527,0.00021750335817040384,0
11,2,0.05472874641418457,0.1414325890540029,0
11,2,0.054757031527432526,0.1414235811058921,0
10,1,0.009987354278564453,0.00020508266714294198,0
10,1,0.009951472282409668,0.0001455045851783437,0
10,1,0.009998083114624023,4.08368642916035e-05,0
10,1,0.010004425048828125,7.565508029440592e-05,0
10,1,0.00998830795288086,0.00027601736510588247,0
10,1,0.009993386268615723,0.00028764756543494944,0
10,1,0.01000385284423828,0.00011063304419684683,0
10,1,0.009993314743041992,4.373392263614935e-05,0
11,2,0.05468427051197399,0.1413412391486739,0
11,2,0.054700916463678535,0.14133597817232021,0
10,1,0.010019326210021972,6.494527783860502e-05,0
10,1,0.009992718696594238,9.69301721759008e-05,0
10,1,0.010000324249267578,8.593342513429724e-05,0
10,1,0.009999322891235351,0.00036405347244465467,0
10,1,0.009984350204467774,0.0004044489544361056,0
10,1,0.010028839111328125,0.00020987867130530977,0
10,1,0.010014486312866212,0.0002245522525572962,0
10,1,0.009948110580444336,0.00024971596400302185,0
11,2,0.054674278606068,0.14143533146338758,0
11,2,0.054722287438132546,0.14142016405006616,0
10,1,0.01001567840576172,0.00028154209484851817,0
10,1,0.010015583038330078,0.00027754399264486094,0
10,1,0.010027551651000976,0.00019005784041378713,0
10,1,0.010046982765197754,0.00016489944693197646,0
10,1,0.01004166603088379,0.00014748199444585534,0
10,1,0.010003805160522461,0.0003213960090570909,0
10,1,0.010008955001831054,0.00041545704325619283,0
10,1,0.009962010383605956,0.0003370491004604708,0
11,2,0.05469950762662021,0.141489252896251,0
11,2,0.054742769761519,0.14147546156120375,0
10,1,0.009970760345458985,0.00010657322220081124,0
10,1,0.009967589378356933,9.307846976585736e-05,0
10,1,0.010035967826843262,0.00014386851328435535,0
10,1,0.009991669654846191,0.00018476822904315099,0
10,1,0.009986352920532227,0.0001334475366857341,0
10,1,0.010004067420959472,0.00010154535016768188,0
10,1,0.009982585906982422,0.00010180758085891564,0
10,1,0.010002732276916504,0.00016765055556906423,0
11,2,0.05470009283585982,0.14139155504231052,0
11,2,0.05476017431779341,0.14137257763144048,0
10,1,0.0100616455078125,0.0001809496556384753,0
9,1,0.010138644112481011,0.0002866925251113937,0
10,1,0.010025691986083985,0.0003838297557930226,0
11,1,0.00991777940229936,0.00022068338253909724,0
10,1,0.010001182556152344,6.465496905129428e-05,0
10,1,0.009992289543151855,6.0566301833434686e-05,0
10,1,0.010010194778442384,6.540033268885021e-05,0
10,1,0.010010504722595214,8.497978335016706e-05,0
11,2,0.05475172129544345,0.1414999267976846,0
10,2,0.05927231311798096,0.14764716429206512,0
9,1,0.010089741812811958,0.00010602555860173003,0
10,1,0.009993815422058105,0.00020556721572699964,0
10,1,0.009930872917175293,0.00026318159563389195,0
10,1,0.009987711906433105,0.0002405560582305031,0
10,1,0.010018610954284668,0.0001592111161942659,0
10,1,0.009965920448303222,0.0005640337662988817,0
11,1,0.009964747862382368,0.0005442512289171416,0
10,1,0.010042262077331544,0.00016835866978432302,0
10,2,0.05932948589324951,0.14764557351645044,0
11,2,0.0547687140378085,0.14151117904508817,0
10,1,0.009920334815979004,0.00017909483938882614,0
10,1,0.009959053993225098,0.00015036430741896658,0
10,1,0.01015939712524414,0.000377582476250128,0
10,1,0.010073184967041016,0.0004560777418734257,0
10,1,0.009977340698242188,0.00028044094187842597,0
10,1,0.010170650482177735,0.00030702747779550355,0
10,1,0.010114502906799317,0.00029162455889195635,0
10,1,0.010019278526306153,6.496908030378473e-05,0
11,2,0.05465689572420987,0.1413576297934261,0
11,2,0.05469090288335627,0.14134694164726058,0
